sentence1	sentence2	label
It is necessary to be extremely careful and to look for a remedy.	Wajibi ne a lura sosai sannan kuma a nemi hanyar magance hakan.	1
I believe this is one of the most important strengths.	A ra'ayina wannan daya ne daga cikin bangarorin karfi da muke da shi.	1
Any elected government official at any level has a responsibility that is as important as the election through which they were elected. The Majlis that will be formed will have to shoulder a heavy responsibility considering current conditions, the uproar that the enemy has cause and the presence of the people in this arena.	Shugabanninmu wadanda mutane ne suka zaban su, duk wani jami'i a ko ina yake wanda jama'a suka zaba, gwargwadon irin nauyin da zaben yake da shi gwargwadon irin nauyin da ke wuyansa. A irin wannan yanayin, da irin wannan ihu bayan harin da makiya suke yi ga kuma wannan fitowar da mutane suka yi wajen kada kuir'arsu, don haka majalisar da za a kafa a nan gaba, za ta kasance majalisa ce da take da gagarumin nauyi a wuyanta.	1
Today the fake Zionist regime is like a cancerous tumor in the region, a tumor that has plagued the region.	A yau wannan haramtacciyar gwamnati ta sahyoniyawa ta zamanto tamkar cutar kansa ce ga wannan yankin, ta cutar da wannan yankin.	1
He is currently an associate professor with BUPT.	Bugu da kari, da a halin yanzu dormant p.g.a. malami ne da ya bace.	0
"If innovative solutions can be found to issues such as these, it will provide a significant boost to our developmental process."""	"Ci gaba da tallafin gwamnati a wadannan fannonin kamar a da, zai janyo gagarumin cikas ga manufofin tattalin arzikinmu gaba daya."""	0
When these youth and adolescents entered the arena and reflected the message that had been yelled by the Imam (r.a.) 14 years earlier, the mercenary killers of America took revenge on them. They opened fire on the youth.	A lokacin da wadannan matasa suka shigo cikin fage da kuma daga taken da marigayi Imam ya daga shekaru goma sha hudun da suka gabata; nan take jami'an tsaro ‘yan amshin shata suka fada musu da daukan fansa a kansu; suka bude musu wuta a kan titunan birnin Tehran.	1
"In his historical letter he wrote: ""It is clear to everyone that Communism should henceforth be sought in world museums of political history."" Life under Imam Khomeini Under Imam Khomeini's rule, Sharia (Islamic law) was introduced, with the Islamic dress code enforced for both men and women."	Imam Khumaini ya riga da ya dauki matsaya ta karshe, don haka sai ya sanar da al'ummar Iran, cikin wani sako da ya aike musu, cewa yana son ya kasance tare da su a wadannan ranaku masu muhimmanci. Hakan ya sanya gwamnatin Bakhtiyar, bisa hadin gwuiwan Janar Haizer, suka rufe filin jirgin saman birnin Tehran sashin zirga-zirgan waje.	1
More than anything else, the Islamic Ummah needs individuals who can utilize thoughts and actions as well as faith, sincerity and purity, who can show resistance in the face of the spiteful enemies as well as exercising self-purification and piety.	A yau, sama da dukkan komai, duniyar musulmi tana bukatar mutanen da suka hada tunani da ayyukansu waje guda cikin imani da tsarkin zuciya da ikhlasi, bugu da kari kan tsayin daka wajen tinkarar makiya masu bakar aniya haka nan kuma tare da gina kansu a fagen neman kusaci da Allah.	1
In such conditions, a woman who wears hijab stands on the medal platform in such countries and makes everyone respect her. Is this a minor achievement?	To amma a irin wannan yanayin sannan kuma a cikin irin wadannan kasashen, a sami wata mace mai hijabi ta hau kan dandamalin karbar kyautar zakaran zakaru sannan kuma wajibi ne kowa da kowa ya girmama ta.	1
Definitely what has been done in this regard is more than what the people know.	Ku san cewa abubuwan da aka yi ya dara abubuwan da mutane suka san an yi su.	1
We are aware of our weak points. We have our own weak points, but in general, our strengths are far more than our weak points.	Ba wai ba mu da bangarori na rauni ba ne, lalle muna da bangarori na rauni; to amma a yanayi na gaba daya bangaren karfin da muke da shi da kuma irin nasarorin da muka samu sun fi bangarorin raunin yawa.	1
Of course nobody is opposed to importing, but it is necessary to regulate and to control imports.	Babu wani wanda yake adawa da shigo da kayayyaki; to amma wajibi ne a tsara yanayin shigo da kayayyakin, a sanya ido kansu.	1
The plate on the capacitor that attaches to the positive	➽ yana farfado da wanda ya suma	0
God's power given to Samson in destroying the temple.	Because God ne kiya hai to soch samajh k hi kiya hoga.	0
South Florida Manufacturer of the Year 2019	Shugaban yawon bude ido na Caribbean tare da FITUR 2019	0
When you rely on yourselves, your talents flow like an inexhaustible spring and offer their outcomes to you, your organization and your nation.	Idan kuka dogara da kanku, karfin da kuke da shi da kuma irin shirin da kuke da shi zai ci gaba da ba ku abubuwan da kuke bukata tamkar wata mabubbugar ruwa da take da fitar da ruwan ne.	1
Of course, as I said, our appreciation for them cannot be expressed with these few words of thanks.	Na'am, kamar yadda na fadi godiyarmu gare su ba za ta takaita kawai da wadannan kalmomi biyu zuwa uku ba ne.	1
He quickly rose through the ranks and became the military commander and counselor of the Sultanate.	Nan da nan ya tashi ta hanyar soja kuma ya zama kwamandan Lieutenant da ke karkashin jagorancin sojoji a Monaco.	0
During the dark era of suppression, every cleric, knowledgeable or not, could easily register for hajj pilgrimage out of enthusiasm or even out of indulgence, but I could not do so.	Kai hatta a zamanin bakin zalunci da kowane malami mai masaniya (ta addini) da ma mara ita, da kaunarsa ko kuma bisa tilasci, cikin sauki, zai iya tafiya aikin hajji…amma ni dai na gagara!	1
When carnal desires are unleashed and when such policies and cultural norms are adopted, the situation becomes so grave that you see a government official, a minister, hold a formal wedding to celebrate his same-sex marriage without feeling ashamed of the people of the world. This will result in incest later on.	A lokacin da aka sanya batun biyan bukata ta sha'awa a gaba, a lokacin da siyasa ta zamanto haka, al'adu suka zamanto haka, yanayi ya kai matsayin da a yau idan kuka duba za ku ga yadda wani jami'in gwamnati, wani minista(1) zai auri wani wani dan daudu ba tare da ya ji kunyar duniya ba!	1
1. Islamic Thought in the Quran (An Outline)	Littafa da Bincike 1- Akidun Musulunci cikin Alkur’ani.	1
The cash bonuses did not meet the definition	Wanke kwakwalwa ya kasa goge wannan garantin.	0
The weakness of the Islamic Ummah, our backwardness, our wrong behaviors, our moral deviations - all of these things are the result of having strayed away from the Holy Quran.	Dukkanin raunin da kuma irin koma bayan da mu musulmi muke fuskanta, haka nan da kuma munanan halaye da jirkitacciyar fahimtar lamurra na kyawawan halaye da kuma rayuwa da muke fuskanta, dukkanin wadannan abubuwa sun samo asali ne sakamakon nesantar Alkur'ani.	1
I received the sad news that the criminal and sinful hands of the arrogant powers' mercenaries have shed the blood of the Mujahid Islamic scholar and the committed clergyman, Mr. Mamousta Sheikholeslam - who was a member of the Assembly of Experts - and that this honorable and obliging man has been martyred at the hands of the soldiers of injustice after decades of unequivocal support for justice.	Cikin bakin ciki da alhini mai tsanani na samu labarin cewa hannayen ‘yan ta'adda masu aikata laifi ‘yan amshin shatan ma'abota girman kai da masu ra'ayin ci baya ya dulmuya cikin jinin babban malamin nan mujahidi kuma mai hidima mai girma Mamousta Sheikh al-Islam wakili a majalisar kwararru ta zaban Jagora sannan kuma sakamakon hakan wannan madaukakin bawan Allah mai tsananin hidima bayan shekara da shekaru na kare gaskiya ya samu nasarar yin shahada ta hannun wadannan dakarun bata.	1
Only certain kinds of activities with certain characteristics can be called jihad.	Wani yunkuri mai wasu siffofi ne ake kiransa da jihadi.	1
You should do profound work regarding logical issues, moral issues, historical issues and issues that are related to the Revolution.	Wajibi ne ku gudanar da ayyuka masu zurfi a fagen lamurran da suka shafi sanin Allah, lamurran da suka shafi kyawawan halaye, dangane da lamurran da suka shafi tarihi da kuma lamurran da suka shafi juyin juya halin Musulunci.	1
"He answered, ""By learning our knowledge and teaching it to people."""	"Sai ya ce: ""Ya koyi iliminmu sannan kuma ya sanar da mutane""."	1
Here's a sneak peek at some of the most awwww-inspiring ones.	A nan, a cikin haruffan haruffa, wasu daga cikin mahimmancin rikice-rikice anime-instigators.	0
I would like to briefly mention these requirements.	Zan gabatar da jerin wadannan abubuwan da ake bukata.	1
I am thankful to Allah the Exalted from the bottom of my heart who gave me another opportunity in the month of Ramadan to be in the company of you dear, motivated and dynamic youth and to listen to your comments for a few hours.	Ina gode wa Allah Madaukakin Sarki da Ya sake ba ni damar zama cikin ku matasa masu girma, ma'abota nishadi da kumajin aiki a wannan rana na watan Ramalana don sauraren abubuwan da za ku fadi.	1
Sayyid Ali Khamenei	Sayyid Ali Khamenei	1
I know I have more then 12 UFO's but I think this will be a good start to getting some accomplished.	Na san mutane da yawa sun fi hakan yawa, amma 100 lambobi ne masu ma'ana da za mu fara.	0
She is one of the Top Gynaecologists in Chennai.	Yana daga cikin manyan likitoci a Chennai.	0
sildenafil for 30 year old says:	sandeep kumar sanodiya says:	0
All of them should know that they are not doing the right thing.	Wajibi ne dukkaninsu su san cewa abubuwan da suke yi, lalle ba aiki ne mai kyau ba.	1
Our enemies are the enemies of knowledge and faith in our society.	Makiya, makiyan ilimi da imani na al'ummar mu ne.	1
In the Name of Allah, the Beneficent, the Merciful	Da sunan Allah Mai Rahama Mai Jin Kai	1
But within recent times, this belief has shifted.	A zamanin da, imani da irin wadannan halittu ya zama gama gari.	0
You want to use Libya as a foothold in order to monitor the future revolutionary governments of Egypt and Tunisia, which are located on the east and west of Libya.	Kuna son ku sami wani waje ne da za ku kafa kafafunku don ku yi amfani da shi wajen killace gwamnatocin juyin juya hali da za a kafa a nan gaba a kasashen Masar da Tunusiya, ku zamanto kuna sa ido a kansu.	1
"I told him, ""Stay away from me."""	Sai na ce masa: Ka rabu da ni.	0
The developments in the 1950's and 60's led to coming to power of regimes that were mostly inclined to materialistic ideologies and thoughts, and because of their inherent character fell into the trap of Western imperialist and colonialist powers. These are experiences that are lessons to learn from, and have contributed substantially to evolution of general and profound understanding in the Islamic world.	Hakika abubuwan da suka faru cikin shekarun 1950 da 1960 miladiyya a kasashe daban-daban wadanda a mafi yawan lokuta su ka sanya gwamnatocin da suke da akida ta abin duniya sannan a dabi'ance bayan wasu shekaru suka fadawa tarkon ma'abota girman kai da ‘yan mulkin mallaka na kasashen yammaci, lalle haka wadansu darussa ne abin koyo wanda suke da rawar da suka taka wajen tabbatar da tunani na gaba dayan al'ummar kasashen musulmi.	1
The vigilant eyes of the youth, intellectuals and religious scholars should be very watchful.	Lalle wajibi ne farkakkun idanuwan matasa da masana da malaman addini su zamanto masu lura ainun.	1
This time it was the people who entered the arena with a religious orientation.	A nan su kansu mutanen ne suka shigo cikin fage, sannan kuma akida da manufarsu ta addini ce.	1
In the Holy Quran, faithful people who engage in good deeds have been promised numerous rewards - success in this world, salvation in the hereafter, closeness to Allah the Exalted, honor, and dignity. These are all the result of faith and good deeds.	Irin wadannan alkawari da Allah Madaukakin Sarki Ya yi wa muminan da suka aikata ayyuka na kwarai - nasara ta duniya da kuma sa'ada a lahira, kusaci da Allah Madaukakin Sarki, daukaka da nasara a duniya da lahira - wadannan su ne sakamako na wannan imani da kuma ayyuka na kwarai.	1
In the Name of Allah, the Beneficent, the Merciful	Da Sunan Allah Mai Rahama Mai Jin Kai	1
This includes a complete system of thought with regard to human society and social progress.	Anyi wannan ne don samun cikakken cikakken hoto game da lafiyar lafiyar jama'a da kuma tsarin jima'i musamman.	0
They made a mistake, and anybody else who follows them will make the same mistake.	Duk wani ma da ya aikata irin wannan aikin, to lalle ya yi kuskure.	1
If our scientists and youth had not done what they did, today we would have to go to those who are not our friends and ask them for either twenty-percent enriched uranium or radiopharmaceuticals.	Idan da a ce masana da matasanmu ba su yi wannan aikin ba, to da a yau cikin kaskantar da kai da maula da kashe kudade masu tsada da mun tafi wajen mutanen da suke adawa da mu, mu gabatar musu da bukatar su sayar mana da makamashin ko kuma mu dinga bukatar magunguna da abubuwan da ake bukatan.	1
"Today this is a precious experience that is available to the peoples who have stood up against arrogance and tyranny and have managed to overthrow and shake corrupt governments that are subservient to and dependent on America. Resistance, patience, insight and faith in the divine promise ""surely Allah will help him who helps His cause"" will pave this path of glory for the Islamic Ummah until it reaches the peak of Islamic civilization."	"A yau dai wannan gagarumar kwarewar tana hannun wadannan al'ummomi wadanda suka yi tsayin daka a gaban ma'abota girman kai da 'yan mulkin mallaka, sannan kuma suka sami nasarar kawar da lalatattun hukumomi da 'yan amshin shatan Amurka ko kuma girgiza su. Tsayin daka da hakuri da basira da dogaro da alkawarin Ubangiji na cewa: ""Kuma lalle, hakika, Allah Yana taimakon wanda yake taimakonSa."	1
The Holy Prophet (s.w.a.) organized, built and managed this system in only ten years. It was a short time.	Shekaru goma kacal Manzon Allah (s.a.w.a) ya dauka wajen gina irin wannan tsari mai karfi da kuma haske; wato wani dan karamin lokaci ne.	1
The problem is not only hitting rocks; it's being buried by waves.	Batun bai tsaya akan makantar kawai ba, amma ta ki su da bakar kiyayya tana jifansu da dutwatsu.	0
For example, when you examine a sample of chickens on a chicken farm and find out that a certain disease has started in that place, you do not show mercy because you know that if you fail to take action out of consideration for that particular chicken farm, then the consequences will not be limited to a few thousand chickens.	A matsayin misali a lokacin da kuka fahimci cewa wata cuta ta kunno kai cikin gonan kaji, to babu wata rahama da tausayi da za ku nuna (wajen kawar da kajin da suka kamu da wannan cutar); saboda kun san cewa idan har kuka yi sako-sako, to kuwa cutarwa da za ta faru ba za ta takaita kawai ga wadansu dubban kaji ba ne; lamari ne da zai yadu, a saboda haka kuke daukan tsattsauran matakai.	1
Official transcripts are not released directly to the	Babu ginannen saitattu a gare tana mayar kai tsaye zuwa šaukuwa na'urorin.	0
I am thankful to Allah the Exalted who gave me an opportunity to have this valuable experience again: being present at Ali ibn Musa ar-Ridha's shrine - may our souls be sacrificed for his sake and God's greetings be upon him.	Ina gode wa Allah Madaukakin Sarki da Ya sake ba ni tsawon rai da kuma dacewar fahimtar irin matsayin da wannan waje mai albarka yake da shi; wato kasancewa a hubbaren mai girma Imam Ali bn Musa al-Ridha (rayukanmu su zamanto fansa a gare shi sannan kuma amincin Allah ta tabbata a gare shi) a ranar farko ta shekara.	1
He posted a photo of their wedding on his Instagram page thanking God for having a successful marriage.	Ta wallafa hotuna daga bikin girmamawan a shafin ta na Instagram tare da yin godiya ga Allah bisa karramawan da ta samu.	0
Lavey-Grundy said she barely has left the hospital in the weeks that her daughter has been there, and is thankful for those that have brought home-cooked meals to the hospital.	Tyohem ta ce ko mako daya ba ayi ba da cutar kyanda ta barke a sansanin amma ta yadu cikin sauri a tsakanin wadanda ke rayuwa a ciki, ta bayyana godiyarta ga tawagar jami'an kiwon lafiya saboda daukin da suka kai cikin sauri.	0
- Don't turn water into wine	Iai wain aika bati aika e karako rann te	0
They're my team too.	Haka zalika, wannan team na.	0
As in any profession there are varying levels of competency and experience.	Kamar yadda a cikin sauran ayyukan, akwai nau'o'in horarwa daban-daban da kuma cancanta mai ilimin likita.	0
Almost one year has now passed since the horrifying events in Mina, as a result of which several thousand people tragically lost their lives- under the hot sun with thirsty lips- and this happened on the day of Eid while they were in the clothes of ihram.	A wannan tafarki kuwa ba sa jin kunya aikata duk wani ha'inci da cin amana. Kusan shekara guda kenan a halin yanzu da faruwar abin da ya faru a Mina mai sosa rai, inda dubban mutane suka rasa rayukansu cikin tsananin rana da kishirwa a ranar Idi sanye da tufafi na harami.	1
Do you have a student who loves airplanes or studying about World War II?	Kuna son malaman da kuka yi bincike ko kuka ji game da shirin?	0
Egypt is one of the main pillars of America's Middle Eastern policies. They were relying on Egypt.	Kasar Masar daya ne daga cikin tushen siyasar Amurka gabas ta tsakiya ne; lalle sun dogara da wannan siyasar.	1
The top 3 reasons to play...	Babban dalilai na wasa ...	0
A vigilant look at the scene of domestic conflicts clearly reveals the enemy's hands behind these tragedies.	Dubi da idon basira cikin irin rikice-rikice na cikin gida da ke faruwa a kasashen musulmi, a fili zai iya bayyanar da hannayen makiya cikin hakan.	1
But all of them need compassion and empathy.	To a kula da su, a tafi wajen su.	1
"Don't worry about ""collecting data."""	"Kada ku damu da sa ""yi lilo daki"" a cikin adadin."	0
Over the first 10, 11 years, famous political figures from different revolutionary groups were executed.	Tsawon wadannan shekaru sha daya zuwa sha biyu na farko, an kashe sanannun ‘yan siyasa na cikin wannan juyin.	1
1 You know, brothers and sisters, that our visit to you was not without results.	1 Ai, ku da kanku kun sani, 'yan'uwa, ziyartarku da muka yi, ba a banza take ba.	0
"""Let's face it, my knitting queue is so long that I'll be a classic by the time I get round to making it,"" I thought to myself."	"""Kisa takalmanki, idan Hamma yaimun fada raina zai baci, naki zai baci kema saboda na shirya tun dazun ke kike batamun lokaci"" 1"	0
The homes are safe.	Gidaran gida ba sa haɗari ga mutane.	0
Multi-factor authentication (MFA): Require users to submit more proofs of identity	"Gida "" Labarin Jirgin Sama "" IATA: Fasinjoji suna son ƙarin iko akan ƙwarewar tafiyarsu"	0
